Size, Execution Time, Prefill, Total Threads, Distribution, Algorithm, Enqueues, Dequeues, Successful Enqueues, Successful Dequeues
4194304,1,2097152,"64","[64, 0, 100]",wf_tester,0.0,80136186.6667,0.0,2097152.0
4194304,1,2097152,"64","[64, 0, 100]",mcas_tester,0.0,50697.0,0.0,0.0
4194304,1,2097152,"64","[64, 0, 100]",coarse_lock_tester,0.0,1109285.66667,0.0,1109285.66667
4194304,1,2097152,"64","[64, 0, 100]",tsigas_tester,0.0,24699.3333333,0.0,24699.3333333
4194304,1,2097152,"64","[64, 0, 100]",linux_buffer,0.0,0.0,0.0,0.0
4194304,1,2097152,"64","[64, 0, 100]",atomics_tester,0.0,5036020.66667,0.0,0.0
4194304,1,2097152,"64","[64, 0, 100]",tbb_tester,1479515.66667,228982.333333,1479515.66667,228982.333333
4194304,1,2097152,"64","[64, 30, 70]",wf_tester,1021187.66667,2382399.0,1021187.66667,2382399.0
4194304,1,2097152,"64","[64, 30, 70]",mcas_tester,411.0,914.666666667,411.0,0.0
4194304,1,2097152,"64","[64, 30, 70]",coarse_lock_tester,202089.0,472892.666667,202089.0,472892.666667
4194304,1,2097152,"64","[64, 30, 70]",tsigas_tester,7763.33333333,18210.6666667,7763.33333333,18210.6666667
4194304,1,2097152,"64","[64, 30, 70]",linux_buffer,0.0,0.0,0.0,0.0
4194304,1,2097152,"64","[64, 30, 70]",atomics_tester,1507604.0,3516262.33333,1507604.0,0.0
4194304,1,2097152,"64","[64, 30, 70]",tbb_tester,1309366.66667,345470.333333,1309366.66667,345470.333333
4194304,1,2097152,"64","[64, 50, 50]",wf_tester,1702093.0,1703603.66667,1702093.0,1703603.66667
4194304,1,2097152,"64","[64, 50, 50]",mcas_tester,429.333333333,397.666666667,429.333333333,0.0
4194304,1,2097152,"64","[64, 50, 50]",coarse_lock_tester,323963.0,324856.0,323963.0,324856.0
4194304,1,2097152,"64","[64, 50, 50]",tsigas_tester,12563.3333333,12569.6666667,12563.3333333,12569.6666667
4194304,1,2097152,"64","[64, 50, 50]",linux_buffer,0.0,0.0,0.0,0.0
4194304,1,2097152,"64","[64, 50, 50]",atomics_tester,0.0,0.0,0.0,0.0
4194304,1,2097152,"64","[64, 50, 50]",tbb_tester,0.0,0.0,0.0,0.0
4194304,1,2097152,"64","[64, 70, 30]",wf_tester,0.0,0.0,0.0,0.0
4194304,1,2097152,"64","[64, 70, 30]",mcas_tester,0.0,0.0,0.0,0.0
4194304,1,2097152,"64","[64, 70, 30]",coarse_lock_tester,0.0,0.0,0.0,0.0
4194304,1,2097152,"64","[64, 70, 30]",tsigas_tester,0.0,0.0,0.0,0.0
4194304,1,2097152,"64","[64, 70, 30]",linux_buffer,0.0,0.0,0.0,0.0
4194304,1,2097152,"64","[64, 70, 30]",atomics_tester,0.0,0.0,0.0,0.0
4194304,1,2097152,"64","[64, 70, 30]",tbb_tester,0.0,0.0,0.0,0.0
4194304,1,2097152,"64","[64, 100, 0]",wf_tester,0.0,0.0,0.0,0.0
4194304,1,2097152,"64","[64, 100, 0]",mcas_tester,0.0,0.0,0.0,0.0
4194304,1,2097152,"64","[64, 100, 0]",coarse_lock_tester,0.0,0.0,0.0,0.0
4194304,1,2097152,"64","[64, 100, 0]",tsigas_tester,0.0,0.0,0.0,0.0
4194304,1,2097152,"64","[64, 100, 0]",linux_buffer,0.0,0.0,0.0,0.0
4194304,1,2097152,"64","[64, 100, 0]",atomics_tester,0.0,0.0,0.0,0.0
4194304,1,2097152,"64","[64, 100, 0]",tbb_tester,0.0,0.0,0.0,0.0

