Size, Execution Time, Prefill, Total Threads, Distribution, Algorithm, Enqueues, Dequeues, Successful Enqueues, Successful Dequeues
4194304,1,2097152,"1","[64, 50, 50]",tsigas_tester,0.0,0.0,0.0,0.0
4194304,1,2097152,"1","[64, 50, 50]",tbb_tester,0.0,0.0,0.0,0.0
4194304,1,2097152,"1","[64, 50, 50]",padded_wf_tester,0.0,0.0,0.0,0.0
4194304,1,2097152,"2","[64, 50, 50]",tsigas_tester,0.0,0.0,0.0,0.0
4194304,1,2097152,"2","[64, 50, 50]",tbb_tester,0.0,0.0,0.0,0.0
4194304,1,2097152,"2","[64, 50, 50]",padded_wf_tester,0.0,0.0,0.0,0.0
4194304,1,2097152,"4","[64, 50, 50]",tsigas_tester,0.0,0.0,0.0,0.0
4194304,1,2097152,"4","[64, 50, 50]",tbb_tester,0.0,0.0,0.0,0.0
4194304,1,2097152,"4","[64, 50, 50]",padded_wf_tester,0.0,0.0,0.0,0.0
4194304,1,2097152,"8","[64, 50, 50]",tsigas_tester,0.0,0.0,0.0,0.0
4194304,1,2097152,"8","[64, 50, 50]",tbb_tester,0.0,0.0,0.0,0.0
4194304,1,2097152,"8","[64, 50, 50]",padded_wf_tester,0.0,0.0,0.0,0.0
4194304,1,2097152,"16","[64, 50, 50]",tsigas_tester,0.0,0.0,0.0,0.0
4194304,1,2097152,"16","[64, 50, 50]",tbb_tester,0.0,0.0,0.0,0.0
4194304,1,2097152,"16","[64, 50, 50]",padded_wf_tester,0.0,0.0,0.0,0.0
4194304,1,2097152,"32","[64, 50, 50]",tsigas_tester,0.0,0.0,0.0,0.0
4194304,1,2097152,"32","[64, 50, 50]",tbb_tester,0.0,0.0,0.0,0.0
4194304,1,2097152,"32","[64, 50, 50]",padded_wf_tester,0.0,0.0,0.0,0.0
4194304,1,2097152,"64","[64, 50, 50]",tsigas_tester,14128.0,14174.3333333,14128.0,14174.3333333
4194304,1,2097152,"64","[64, 50, 50]",tbb_tester,1486844.0,212837.666667,1486844.0,212837.666667
4194304,1,2097152,"64","[64, 50, 50]",padded_wf_tester,1698201.33333,1700042.0,1698201.33333,1700042.0
4194304,1,2097152,"128","[64, 50, 50]",tsigas_tester,0.0,0.0,0.0,0.0
4194304,1,2097152,"128","[64, 50, 50]",tbb_tester,0.0,0.0,0.0,0.0
4194304,1,2097152,"128","[64, 50, 50]",padded_wf_tester,0.0,0.0,0.0,0.0
4194304,1,2097152,"256","[64, 50, 50]",tsigas_tester,0.0,0.0,0.0,0.0
4194304,1,2097152,"256","[64, 50, 50]",tbb_tester,0.0,0.0,0.0,0.0
4194304,1,2097152,"256","[64, 50, 50]",padded_wf_tester,0.0,0.0,0.0,0.0

