Size, Execution Time, Prefill, Total Threads, Distribution, Algorithm, Enqueues, Dequeues, Successful Enqueues, Successful Dequeues
4194304,1,2097152,"64","[64, 0, 100]",tsigas_tester,0.0,8578.66666667,0.0,8578.66666667
4194304,1,2097152,"64","[64, 0, 100]",tbb_tester,0.0,0.0,0.0,0.0
4194304,1,2097152,"64","[64, 0, 100]",padded_wf_tester,0.0,36891166.6667,0.0,2097152.0
4194304,1,2097152,"64","[64, 30, 70]",tsigas_tester,7922.0,18577.0,7922.0,18577.0
4194304,1,2097152,"64","[64, 30, 70]",tbb_tester,1431800.66667,221646.0,1431800.66667,221646.0
4194304,1,2097152,"64","[64, 30, 70]",padded_wf_tester,1010266.0,2357409.66667,1010266.0,2357409.66667
4194304,1,2097152,"64","[64, 50, 50]",tsigas_tester,14585.6666667,14668.0,14585.6666667,14668.0
4194304,1,2097152,"64","[64, 50, 50]",tbb_tester,1493921.33333,204249.666667,1493921.33333,204249.666667
4194304,1,2097152,"64","[64, 50, 50]",padded_wf_tester,1684040.66667,1685973.33333,1684040.66667,1685973.33333
4194304,1,2097152,"64","[64, 70, 30]",tsigas_tester,18845.0,8071.0,18845.0,8071.0
4194304,1,2097152,"64","[64, 70, 30]",tbb_tester,1483058.33333,210516.666667,1483058.33333,210516.666667
4194304,1,2097152,"64","[64, 70, 30]",padded_wf_tester,2375862.0,1017800.0,2375862.0,1017800.0
4194304,1,2097152,"64","[64, 100, 0]",tsigas_tester,23466.0,0.0,23466.0,0.0
4194304,1,2097152,"64","[64, 100, 0]",tbb_tester,0.0,0.0,0.0,0.0
4194304,1,2097152,"64","[64, 100, 0]",padded_wf_tester,38614607.6667,0.0,2097152.0,0.0

