Size, Execution Time, Prefill, Total Threads, Distribution, Algorithm, Enqueues, Dequeues, Successful Enqueues, Successful Dequeues
4194304,1,0,"64","[64, 0, 100]",wf_tester,0.0,205069168.0,0.0,0.0
4194304,1,0,"64","[64, 30, 70]",wf_tester,646366.0,1508698.66667,646366.0,646364.333333
4194304,1,0,"64","[64, 50, 50]",wf_tester,1672551.33333,1674425.66667,1672551.33333,1672129.0
4194304,1,0,"64","[64, 70, 30]",wf_tester,2383214.33333,1020765.33333,2383214.33333,1020763.66667
4194304,1,0,"64","[64, 100, 0]",wf_tester,3415352.66667,0.0,3415352.66667,0.0
4194304,1,2097152,"64","[64, 0, 100]",wf_tester,0.0,82532768.3333,0.0,2097152.0
4194304,1,2097152,"64","[64, 30, 70]",wf_tester,1007696.33333,2351299.0,1007696.33333,2351299.0
4194304,1,2097152,"64","[64, 50, 50]",wf_tester,1689916.66667,1691606.33333,1689916.66667,1691606.33333
4194304,1,2097152,"64","[64, 70, 30]",wf_tester,2365665.66667,1013581.66667,2365665.66667,1013581.66667
4194304,1,2097152,"64","[64, 100, 0]",wf_tester,82287403.3333,0.0,2097152.0,0.0
4194304,1,4194304,"64","[64, 0, 100]",wf_tester,0.0,3359056.33333,0.0,3359056.33333
4194304,1,4194304,"64","[64, 30, 70]",wf_tester,1015584.0,2369566.66667,1015583.0,2369566.66667
4194304,1,4194304,"64","[64, 50, 50]",wf_tester,1693111.66667,1695015.66667,1692683.0,1695015.66667
4194304,1,4194304,"64","[64, 70, 30]",wf_tester,1515229.66667,648900.666667,648665.0,648900.666667
4194304,1,4194304,"64","[64, 100, 0]",wf_tester,204476373.0,0.0,0.0,0.0

