Size, Execution Time, Prefill, Total Threads, Distribution, Algorithm, Enqueues, Dequeues, Successful Enqueues, Successful Dequeues
4194304,5,0,"64","[64, 0, 100]",wf_tester,0.0,1056592356.0,0.0,0.0
4194304,5,0,"64","[64, 30, 70]",wf_tester,3196040.0,7457828.66667,3196040.0,3196039.66667
4194304,5,0,"64","[64, 50, 50]",wf_tester,2841409.33333,2840327.0,2841409.33333,2839661.0
4194304,5,0,"64","[64, 70, 30]",wf_tester,10255826.6667,4394857.0,8588764.66667,4394856.33333
4194304,5,0,"64","[64, 100, 0]",wf_tester,781094448.333,0.0,4194304.0,0.0
4194304,5,2097152,"64","[64, 0, 100]",wf_tester,0.0,928537506.333,0.0,2097152.0
4194304,5,2097152,"64","[64, 30, 70]",wf_tester,3792059.0,8851091.66667,3792059.0,5889206.0
4194304,5,2097152,"64","[64, 50, 50]",wf_tester,8493210.33333,8489820.33333,8493210.33333,8489820.33333
4194304,5,2097152,"64","[64, 70, 30]",wf_tester,8901336.33333,3813501.66667,5909882.66667,3813501.66667
4194304,5,2097152,"64","[64, 100, 0]",wf_tester,904913465.667,0.0,2097152.0,0.0
4194304,5,4194304,"64","[64, 0, 100]",wf_tester,0.0,791457810.0,0.0,4194304.0
4194304,5,4194304,"64","[64, 30, 70]",wf_tester,4355297.0,10164902.0,4355296.0,8549595.33333
4194304,5,4194304,"64","[64, 50, 50]",wf_tester,0.0,0.0,0.0,0.0
4194304,5,4194304,"64","[64, 70, 30]",wf_tester,7502380.66667,3213597.66667,3212480.66667,3213597.66667
4194304,5,4194304,"64","[64, 100, 0]",wf_tester,1032345765.33,0.0,0.0,0.0

