Size, Execution Time, Prefill, Total Threads, Distribution, Algorithm, Enqueues, Dequeues, Successful Enqueues, Successful Dequeues
4194304,1,0,"64","[64, 0, 100]",wf_tester,0.0,203049374.333,0.0,0.0
4194304,1,0,"64","[64, 0, 100]",mcas_tester,0.0,258524232.0,0.0,0.0
4194304,1,0,"64","[64, 0, 100]",coarse_lock_tester,0.0,1145195.33333,0.0,1145195.33333
4194304,1,0,"64","[64, 0, 100]",tsigas_tester,0.0,209143.333333,0.0,0.0
4194304,1,0,"64","[64, 0, 100]",linux_buffer,0.0,0.0,0.0,0.0
4194304,1,0,"64","[64, 0, 100]",atomics_tester,0.0,5179791.33333,0.0,0.0
4194304,1,0,"64","[64, 0, 100]",tbb_tester,0.0,204201126.333,0.0,204201126.333
4194304,1,0,"64","[64, 30, 70]",wf_tester,646186.333333,1508849.33333,646186.333333,646184.333333
4194304,1,0,"64","[64, 30, 70]",mcas_tester,625.333333333,1437.66666667,625.333333333,0.0
4194304,1,0,"64","[64, 30, 70]",coarse_lock_tester,236504.0,553254.333333,236504.0,553254.333333
4194304,1,0,"64","[64, 30, 70]",tsigas_tester,11937.3333333,27996.0,11937.3333333,11935.0
4194304,1,0,"64","[64, 30, 70]",linux_buffer,0.0,0.0,0.0,0.0
4194304,1,0,"64","[64, 30, 70]",atomics_tester,1545448.33333,3603526.66667,1545448.33333,0.0
4194304,1,0,"64","[64, 30, 70]",tbb_tester,235262.0,550626.333333,235262.0,550626.333333
4194304,1,0,"64","[64, 50, 50]",wf_tester,1677286.0,1678995.0,1677286.0,1676521.66667
4194304,1,0,"64","[64, 50, 50]",mcas_tester,628.666666667,595.666666667,628.666666667,0.0
4194304,1,0,"64","[64, 50, 50]",coarse_lock_tester,321362.0,322859.0,321362.0,322859.0
4194304,1,0,"64","[64, 50, 50]",tsigas_tester,14557.6666667,14572.3333333,14557.6666667,14444.6666667
4194304,1,0,"64","[64, 50, 50]",linux_buffer,0.0,0.0,0.0,0.0
4194304,1,0,"64","[64, 50, 50]",atomics_tester,2571766.33333,2570161.0,2571766.33333,0.0
4194304,1,0,"64","[64, 50, 50]",tbb_tester,291163.666667,291804.333333,291163.666667,291804.333333
4194304,1,0,"64","[64, 70, 30]",wf_tester,2389996.66667,1023862.0,2389996.66667,1023859.0
4194304,1,0,"64","[64, 70, 30]",mcas_tester,631.666666667,267.333333333,631.666666667,0.0
4194304,1,0,"64","[64, 70, 30]",coarse_lock_tester,362057.666667,155066.666667,362057.666667,155066.666667
4194304,1,0,"64","[64, 70, 30]",tsigas_tester,18972.0,8170.0,18972.0,8159.66666667
4194304,1,0,"64","[64, 70, 30]",linux_buffer,0.0,0.0,0.0,0.0
4194304,1,0,"64","[64, 70, 30]",atomics_tester,3559602.33333,1524714.33333,3559602.33333,0.0
4194304,1,0,"64","[64, 70, 30]",tbb_tester,765513.0,327838.333333,765513.0,327838.333333
4194304,1,0,"64","[64, 100, 0]",wf_tester,3450756.0,0.0,3450756.0,0.0
4194304,1,0,"64","[64, 100, 0]",mcas_tester,43270.0,0.0,43270.0,0.0
4194304,1,0,"64","[64, 100, 0]",coarse_lock_tester,436757.0,0.0,436757.0,0.0
4194304,1,0,"64","[64, 100, 0]",tsigas_tester,25126.3333333,0.0,25126.3333333,0.0
4194304,1,0,"64","[64, 100, 0]",linux_buffer,1635021.0,0.0,1635021.0,0.0
4194304,1,0,"64","[64, 100, 0]",atomics_tester,5041283.66667,0.0,5041283.66667,0.0
4194304,1,0,"64","[64, 100, 0]",tbb_tester,934681.666667,0.0,934681.666667,0.0
4194304,1,2097152,"64","[64, 0, 100]",wf_tester,0.0,82558082.3333,0.0,2097152.0
4194304,1,2097152,"64","[64, 0, 100]",mcas_tester,0.0,55114.0,0.0,0.0
4194304,1,2097152,"64","[64, 0, 100]",coarse_lock_tester,0.0,1235416.66667,0.0,1235416.66667
4194304,1,2097152,"64","[64, 0, 100]",tsigas_tester,0.0,23560.6666667,0.0,23560.6666667
4194304,1,2097152,"64","[64, 0, 100]",linux_buffer,0.0,0.0,0.0,0.0
4194304,1,2097152,"64","[64, 0, 100]",atomics_tester,0.0,5176711.33333,0.0,0.0
4194304,1,2097152,"64","[64, 0, 100]",tbb_tester,0.0,1354166.33333,0.0,1354166.33333
4194304,1,2097152,"64","[64, 30, 70]",wf_tester,1012398.33333,2362403.66667,1012398.33333,2362403.66667
4194304,1,2097152,"64","[64, 30, 70]",mcas_tester,418.666666667,929.0,418.666666667,0.0
4194304,1,2097152,"64","[64, 30, 70]",coarse_lock_tester,240375.666667,562918.0,240375.666667,562918.0
4194304,1,2097152,"64","[64, 30, 70]",tsigas_tester,8240.0,19422.3333333,8240.0,19422.3333333
4194304,1,2097152,"64","[64, 30, 70]",linux_buffer,281245.333333,656315.666667,281245.333333,656293.0
4194304,1,2097152,"64","[64, 30, 70]",atomics_tester,1500427.0,3498986.33333,1500427.0,0.0
4194304,1,2097152,"64","[64, 30, 70]",tbb_tester,347789.666667,811933.666667,347789.666667,811933.666667
4194304,1,2097152,"64","[64, 50, 50]",wf_tester,1685648.66667,1686694.33333,1685648.66667,1686694.33333
4194304,1,2097152,"64","[64, 50, 50]",mcas_tester,435.333333333,409.333333333,435.333333333,0.0
4194304,1,2097152,"64","[64, 50, 50]",coarse_lock_tester,303004.0,303935.0,303004.0,303935.0
4194304,1,2097152,"64","[64, 50, 50]",tsigas_tester,15266.3333333,15354.3333333,15266.3333333,15354.3333333
4194304,1,2097152,"64","[64, 50, 50]",linux_buffer,0.0,0.0,0.0,0.0
4194304,1,2097152,"64","[64, 50, 50]",atomics_tester,2529541.66667,2528554.66667,2529541.66667,0.0
4194304,1,2097152,"64","[64, 50, 50]",tbb_tester,305165.333333,305992.333333,305165.333333,305992.333333
4194304,1,2097152,"64","[64, 70, 30]",wf_tester,2374991.0,1018056.0,2374991.0,1018056.0
4194304,1,2097152,"64","[64, 70, 30]",mcas_tester,453.666666667,204.333333333,453.666666667,0.0
4194304,1,2097152,"64","[64, 70, 30]",coarse_lock_tester,375576.333333,160672.0,375576.333333,160672.0
4194304,1,2097152,"64","[64, 70, 30]",tsigas_tester,19770.0,8446.0,19770.0,8446.0
4194304,1,2097152,"64","[64, 70, 30]",linux_buffer,0.0,0.0,0.0,0.0
4194304,1,2097152,"64","[64, 70, 30]",atomics_tester,3646718.33333,1562121.66667,3646718.33333,0.0
4194304,1,2097152,"64","[64, 70, 30]",tbb_tester,898386.333333,384834.666667,898386.333333,384834.666667
4194304,1,2097152,"64","[64, 100, 0]",wf_tester,78600646.0,0.0,2097152.0,0.0
4194304,1,2097152,"64","[64, 100, 0]",mcas_tester,42821.3333333,0.0,42821.3333333,0.0
4194304,1,2097152,"64","[64, 100, 0]",coarse_lock_tester,442123.333333,0.0,442123.333333,0.0
4194304,1,2097152,"64","[64, 100, 0]",tsigas_tester,24728.0,0.0,24728.0,0.0
4194304,1,2097152,"64","[64, 100, 0]",linux_buffer,0.0,0.0,0.0,0.0
4194304,1,2097152,"64","[64, 100, 0]",atomics_tester,5075822.33333,0.0,5075822.33333,0.0
4194304,1,2097152,"64","[64, 100, 0]",tbb_tester,944367.666667,0.0,944367.666667,0.0
4194304,1,4194304,"64","[64, 0, 100]",wf_tester,0.0,3375396.33333,0.0,3375396.33333
4194304,1,4194304,"64","[64, 0, 100]",mcas_tester,0.0,56106.6666667,0.0,0.0
4194304,1,4194304,"64","[64, 0, 100]",coarse_lock_tester,0.0,1073755.66667,0.0,1073755.66667
4194304,1,4194304,"64","[64, 0, 100]",tsigas_tester,0.0,23839.3333333,0.0,23839.3333333
4194304,1,4194304,"64","[64, 0, 100]",linux_buffer,0.0,0.0,0.0,0.0
4194304,1,4194304,"64","[64, 0, 100]",atomics_tester,0.0,5161414.0,0.0,0.0
4194304,1,4194304,"64","[64, 0, 100]",tbb_tester,0.0,1294296.0,0.0,1294296.0
4194304,1,4194304,"64","[64, 30, 70]",wf_tester,1014671.66667,2368293.0,1014669.33333,2368293.0
4194304,1,4194304,"64","[64, 30, 70]",mcas_tester,346.666666667,734.333333333,346.666666667,0.0
4194304,1,4194304,"64","[64, 30, 70]",coarse_lock_tester,237351.666667,555459.666667,237351.666667,555459.666667
4194304,1,4194304,"64","[64, 30, 70]",tsigas_tester,8695.33333333,20375.6666667,8695.33333333,20375.6666667
4194304,1,4194304,"64","[64, 30, 70]",linux_buffer,0.0,0.0,0.0,0.0
4194304,1,4194304,"64","[64, 30, 70]",atomics_tester,1508386.0,3518315.0,1508386.0,0.0
4194304,1,4194304,"64","[64, 30, 70]",tbb_tester,300641.333333,702605.666667,300641.333333,702605.666667
4194304,1,4194304,"64","[64, 50, 50]",wf_tester,1694574.0,1696369.0,1694228.0,1696369.0
4194304,1,4194304,"64","[64, 50, 50]",mcas_tester,373.666666667,359.333333333,373.666666667,0.0
4194304,1,4194304,"64","[64, 50, 50]",coarse_lock_tester,315877.333333,316536.333333,315877.333333,316536.333333
4194304,1,4194304,"64","[64, 50, 50]",tsigas_tester,13931.6666667,13926.3333333,13931.6666667,13926.3333333
4194304,1,4194304,"64","[64, 50, 50]",linux_buffer,0.0,0.0,0.0,0.0
4194304,1,4194304,"64","[64, 50, 50]",atomics_tester,2580304.0,2579063.33333,2580304.0,0.0
4194304,1,4194304,"64","[64, 50, 50]",tbb_tester,290674.0,291272.333333,290674.0,291272.333333
4194304,1,4194304,"64","[64, 70, 30]",wf_tester,1521975.66667,651561.666667,651319.333333,651561.666667
4194304,1,4194304,"64","[64, 70, 30]",mcas_tester,431.0,198.333333333,431.0,0.0
4194304,1,4194304,"64","[64, 70, 30]",coarse_lock_tester,381356.666667,163400.666667,381356.666667,163400.666667
4194304,1,4194304,"64","[64, 70, 30]",tsigas_tester,20478.6666667,8736.33333333,20478.6666667,8735.66666667
4194304,1,4194304,"64","[64, 70, 30]",linux_buffer,0.0,0.0,0.0,0.0
4194304,1,4194304,"64","[64, 70, 30]",atomics_tester,3523894.0,1509397.66667,3523894.0,0.0
4194304,1,4194304,"64","[64, 70, 30]",tbb_tester,913891.333333,391480.0,913891.333333,391480.0
4194304,1,4194304,"64","[64, 100, 0]",wf_tester,199352783.0,0.0,0.0,0.0
4194304,1,4194304,"64","[64, 100, 0]",mcas_tester,170161458.667,0.0,170161458.667,0.0
4194304,1,4194304,"64","[64, 100, 0]",coarse_lock_tester,422536.666667,0.0,422536.666667,0.0
4194304,1,4194304,"64","[64, 100, 0]",tsigas_tester,86202.3333333,0.0,86202.3333333,0.0
4194304,1,4194304,"64","[64, 100, 0]",linux_buffer,0.0,0.0,0.0,0.0
4194304,1,4194304,"64","[64, 100, 0]",atomics_tester,5105093.0,0.0,5105093.0,0.0
4194304,1,4194304,"64","[64, 100, 0]",tbb_tester,940751.0,0.0,940751.0,0.0

